[LOGGING]	FX5CPU_1	2	3	4
DATETIME[YYYY/MM/DD hh:mm:ss	ms]	INTERVAL	INDEX	FLOAT[DEC.7]	FLOAT[DEC.7]	FLOAT[DEC.7]	FLOAT[DEC.7]	TRIGGER[*]
TIME	msec	INTERVAL[us]	INDEX	D0	D2	D4	D6	Trigger
2020/06/10 04:42:56	035	1001060	1	0.0	0.0	0.0	0.0	
2020/06/10 04:42:57	035	1000050	2	0.0	0.0	0.0	0.0	
2020/06/10 04:42:58	038	1003040	3	30.0	35.0	0.0	0.0	
2020/06/10 04:42:59	038	1000040	4	30.0	35.0	0.0	0.0	
2020/06/10 04:43:00	038	1000050	5	30.0	35.0	0.0	0.0	
2020/06/10 04:43:01	038	999960	6	30.0	35.0	0.0497204	0.0580072	
2020/06/10 04:43:02	038	1000750	7	30.0	35.0	0.1823135	0.2126991	
2020/06/10 04:43:03	038	999250	8	30.0	35.0	0.3767643	0.4395584	
2020/06/10 04:43:04	038	1000050	9	30.0	35.0	0.6163704	0.7190989	
2020/06/10 04:43:05	038	999960	10	30.0	35.0	0.8878998	1.035884	
2020/06/10 04:43:06	038	1000040	11	30.0	35.0	1.18091	1.37773	
2020/06/10 04:43:07	038	999810	12	30.0	35.0	1.495806	1.742448	
2020/06/10 04:43:08	038	1000120	13	30.0	35.0	1.833141	2.12853	
2020/06/10 04:43:09	038	999880	14	30.0	35.0	2.185686	2.528245	
2020/06/10 04:43:10	038	1000120	15	30.0	35.0	2.547607	2.935416	
2020/06/10 04:43:11	038	999890	16	30.0	35.0	2.914216	3.34513	
2020/06/10 04:43:12	038	1000200	17	30.0	35.0	3.281757	3.753502	
2020/06/10 04:43:13	038	999950	18	30.0	35.0	3.647239	4.157482	
2020/06/10 04:43:14	038	999980	19	30.0	35.0	4.008296	4.554698	
2020/06/10 04:43:15	038	1000040	20	30.0	35.0	4.363072	4.94333	
2020/06/10 04:43:16	038	1000040	21	30.0	35.0	4.710132	5.322001	
2020/06/10 04:43:17	038	999880	22	30.0	35.0	5.048379	5.6897	
2020/06/10 04:43:18	038	1000050	23	30.0	35.0	5.376998	6.045706	
2020/06/10 04:43:19	038	1000040	24	30.0	35.0	5.695401	6.389537	
2020/06/10 04:43:20	038	1000040	25	30.0	35.0	6.003185	6.720903	
2020/06/10 04:43:21	038	999960	26	30.0	35.0	6.300103	7.039667	
2020/06/10 04:43:22	038	1000160	27	30.0	35.0	6.586029	7.345815	
2020/06/10 04:43:23	038	999770	28	30.0	35.0	6.86094	7.639432	
2020/06/10 04:43:24	038	1000040	29	30.0	35.0	7.124894	7.920684	
2020/06/10 04:43:25	038	1000040	30	30.0	35.0	7.378015	8.189793	
2020/06/10 04:43:26	038	999890	31	30.0	35.0	7.62048	8.447029	
2020/06/10 04:43:27	038	1000040	32	30.0	35.0	7.852505	8.692701	
2020/06/10 04:43:28	038	1000030	33	30.0	35.0	8.074342	8.927143	
2020/06/10 04:43:29	038	999900	34	30.0	35.0	8.286261	9.150709	
2020/06/10 04:43:30	038	1000040	35	30.0	35.0	8.48855	9.363766	
2020/06/10 04:43:31	039	1001060	36	30.0	35.0	8.681512	9.56669	
2020/06/10 04:43:32	049	1010000	37	30.0	35.0	8.865456	9.759863	
2020/06/10 04:43:33	059	1009850	38	30.0	35.0	9.040696	9.943659	
2020/06/10 04:43:34	069	1010150	39	30.0	35.0	9.207548	10.11845	
2020/06/10 04:43:35	079	1009840	40	30.0	35.0	9.36633	10.28461	
2020/06/10 04:43:36	089	1010160	41	30.0	35.0	9.517357	10.4425	
2020/06/10 04:43:37	099	1010070	42	30.0	35.0	9.66094	10.59247	
2020/06/10 04:43:38	110	1010860	43	30.0	35.0	9.797384	10.73488	
2020/06/10 04:43:39	120	1009930	44	30.0	35.0	9.926991	10.87006	
2020/06/10 04:43:40	130	1010000	45	30.0	35.0	10.05005	10.99833	
2020/06/10 04:43:41	140	1010140	46	30.0	35.0	10.16686	11.12002	
2020/06/10 04:43:42	150	1010000	47	30.0	35.0	10.27768	11.23543	
2020/06/10 04:43:43	160	1010000	48	30.0	35.0	10.3828	11.34485	
2020/06/10 04:43:44	170	1009930	49	30.0	35.0	10.48247	11.44857	
2020/06/10 04:43:45	180	1010070	50	30.0	35.0	10.57696	11.54686	
2020/06/10 04:43:46	190	1010000	51	30.0	35.0	10.6665	11.63998	
2020/06/10 04:43:47	201	1010790	52	30.0	35.0	10.75133	11.72817	
2020/06/10 04:43:48	211	1010070	53	30.0	35.0	10.83169	11.81169	
2020/06/10 04:43:49	221	1010160	54	30.0	35.0	10.90779	11.89076	
2020/06/10 04:43:50	231	1009920	55	30.0	35.0	10.97985	11.9656	
2020/06/10 04:43:51	241	1009920	56	30.0	35.0	11.04805	12.03643	
2020/06/10 04:43:52	251	1010140	57	30.0	35.0	11.11261	12.10345	
2020/06/10 04:43:53	261	1009930	58	30.0	35.0	11.17369	12.16686	
2020/06/10 04:43:54	271	1010000	59	30.0	35.0	11.23146	12.22684	
2020/06/10 04:43:55	281	1009920	60	30.0	35.0	11.28611	12.28358	
2020/06/10 04:43:56	291	1010070	61	30.0	35.0	11.33779	12.33723	
2020/06/10 04:43:57	298	1007080	62	30.0	35.0	11.38664	12.38799	
2020/06/10 04:43:58	299	1000910	63	30.0	35.0	11.43283	12.43598	
2020/06/10 04:43:59	298	998940	64	30.0	35.0	11.47648	12.48138	
2020/06/10 04:44:00	298	1000040	65	30.0	35.0	11.51773	12.52431	
2020/06/10 04:44:01	298	999960	66	30.0	35.0	11.5567	12.56492	
2020/06/10 04:44:02	299	1000990	67	30.0	35.0	11.59352	12.60331	
2020/06/10 04:44:03	299	1000440	68	30.0	35.0	11.62829	12.63961	
2020/06/10 04:44:04	299	999570	69	30.0	35.0	11.66113	12.67392	
2020/06/10 04:44:05	299	1000200	70	30.0	35.0	11.69213	12.70636	
2020/06/10 04:44:06	299	999880	71	30.0	35.0	11.72139	12.73702	
2020/06/10 04:44:07	301	1001860	72	30.0	35.0	11.74901	12.766	
2020/06/10 04:44:08	301	1000120	73	30.0	35.0	11.77508	12.7934	
2020/06/10 04:44:09	301	999970	74	30.0	35.0	11.79967	12.8193	
2020/06/10 04:44:10	301	1000120	75	30.0	35.0	11.82288	12.84379	
2020/06/10 04:44:11	302	1000990	76	30.0	35.0	11.84477	12.86694	
2020/06/10 04:44:12	302	999880	77	30.0	35.0	11.86544	12.88882	
2020/06/10 04:44:13	302	1000200	78	30.0	35.0	11.88494	12.90948	
2020/06/10 04:44:14	302	999810	79	30.0	35.0	11.90335	12.92901	
2020/06/10 04:44:15	302	999960	80	30.0	35.0	11.92073	12.94745	
2020/06/10 04:44:16	302	1000120	81	30.0	35.0	11.93714	12.96487	
2020/06/10 04:44:17	302	1000040	82	30.0	35.0	11.95263	12.98133	
2020/06/10 04:44:18	302	999890	83	30.0	35.0	11.96725	12.99687	
2020/06/10 04:44:19	302	1000110	84	30.0	35.0	11.98104	13.01155	
2020/06/10 04:44:20	303	1000920	85	30.0	35.0	11.99406	13.0254	
2020/06/10 04:44:21	303	1000040	86	30.0	35.0	12.00634	13.03849	
2020/06/10 04:44:22	303	1000040	87	30.0	35.0	12.01794	13.05086	
2020/06/10 04:44:23	303	999970	88	30.0	35.0	12.02887	13.06253	
2020/06/10 04:44:24	303	999960	89	30.0	35.0	12.03918	13.07356	
2020/06/10 04:44:25	303	1000120	90	30.0	35.0	12.0489	13.08399	
